3031,Amherst
3032,Auburn
3033,Brookline
3034,Candia
3036,Chester
3037,Deerfield
3038,Derry
3040,East Candia
3041,East Derry
3042,Epping
3043,Francestown
3044,Fremont
3045,Goffstown
3046,Dunbarton
3047,Greenfield
3048,Mason
3048,Greenville
3049,Hollis
3051,Hudson
3052,Litchfield
3053,Londonderry
3054,Merrimack
3055,Milford
3057,Mont Vernon
3060,Nashua
3061,Nashua
3062,Nashua
3063,Nashua
3064,Nashua
3070,New Boston
3071,New Ipswich
3073,North Salem
3076,Pelham
3077,Raymond
3079,Salem
3082,Lyndeborough
3084,Temple
3086,Wilton
3087,Windham
3101,Manchester
3102,Manchester
3103,Manchester
3104,Manchester
3105,Manchester
3106,Hooksett
3107,Manchester
3108,Manchester
3109,Manchester
3110,Bedford
3111,Manchester
3215,Waterville Valley
3216,Andover
3217,Ashland
3218,Barnstead
3220,Belmont
3221,Sutton
3221,Bradford
3222,Alexandria
3222,Bridgewater
3222,Bristol
3223,Thornton
3223,Ellsworth
3223,Campton
3224,Canterbury
3225,Center Barnstead
3226,Center Harbor
3227,Sandwich
3227,Center Sandwich
3229,Hopkinton
3229,Contoocook
3230,Danbury
3231,East Andover
3233,Elkins
3234,Epsom
3235,Franklin
3237,Gilmanton
3238,Glencliff
3240,Grafton
3241,Groton
3241,Hebron
3242,Henniker
3243,Hill
3244,Windsor
3244,Deering
3244,Hillsborough
3245,Holderness
3246,Laconia
3247,Laconia
3249,Gilford
3251,Lincoln
3252,Lochmere
3253,Meredith
3254,Moultonborough
3255,Newbury
3256,New Hampton
3257,Sutton
3257,New London
3258,Chichester
3259,North Sandwich
3260,North Sutton
3261,Northwood
3262,North Woodstock
3263,Pittsfield
3264,Bridgewater
3264,Plymouth
3266,Groton
3266,Ellsworth
3266,Dorchester
3266,Rumney
3268,Salisbury
3269,Sanbornton
3272,South Newbury
3273,South Sutton
3274,Stinson Lake
3275,Pembroke
3275,Allenstown
3275,Suncook
3276,Northfield
3276,Tilton
3278,Sutton
3278,Warner
3279,Warren
3280,Washington
3281,Weare
3282,Wentworth
3284,Springfield
3285,Thornton
3287,Sutton
3287,Wilmot
3289,Winnisquam
3290,Nottingham
3291,West Nottingham
3293,Woodstock
3298,Tilton
3299,Tilton
3301,Concord
3302,Concord
3303,Webster
3303,Concord
3303,Boscawen
3304,Bow
3305,Concord
3307,Loudon
3431,Roxbury
3431,Surry
3431,Keene
3435,Keene
3440,Antrim
3441,Ashuelot
3442,Bennington
3443,Chesterfield
3444,Dublin
3445,Sullivan
3446,Swanzey
3447,Fitzwilliam
3448,Gilsum
3449,Hancock
3450,Harrisville
3451,Hinsdale
3452,Jaffrey
3455,Marlborough
3456,Marlow
3457,Nelson
3458,Sharon
3458,Peterborough
3461,Rindge
3462,Spofford
3464,Stoddard
3465,Troy
3466,West Chesterfield
3467,Westmoreland
3468,West Peterborough
3469,West Swanzey
3470,Richmond
3470,Winchester
3561,Littleton
3570,Berlin
3574,Bethlehem
3575,Bretton Woods
3576,Stewartstown
3576,Columbia
3576,Colebrook
3579,Millsfield
3579,Wentworth's Loc.
3579,Errol
3580,Easton
3580,Franconia
3581,Shelburne
3581,Gorham
3582,Millsfield
3582,Groveton
3582,Stark
3582,Northumberland
3583,Jefferson
3584,Lancaster
3585,Lyman
3585,Landaff
3585,Lisbon
3586,Sugar Hill
3588,Millsfield
3588,Dummer
3588,Cambridge
3588,Milan
3589,Mount Washington
3590,Stratford
3590,Columbia
3590,North Stratford
3592,Clarksville
3592,Pittsburg
3593,Randolph
3595,Twin Mountain
3597,West Stewartstown
3598,Dalton
3598,Carroll
3598,Whitefield
3601,Acworth
3602,Alstead
3603,Unity
3603,Charlestown
3604,Drewsville
3605,Lempster
3607,South Acworth
3608,Walpole
3609,North Walpole
3740,Bath
3741,Orange
3741,Canaan
3743,Unity
3743,Claremont
3745,Cornish
3746,Cornish Flat
3748,Enfield
3749,Enfield Center
3750,Etna
3751,Georges Mills
3752,Goshen
3753,Grantham
3754,Guild
3755,Hanover
3756,Lebanon
3765,Haverhill
3766,Lebanon
3768,Lyme
3769,Lyme Center
3770,Meriden
3771,Monroe
3773,Unity
3773,Croydon
3773,Newport
3774,North Haverhill
3777,Orford
3779,Piermont
3780,Benton
3780,Pike
3781,Plainfield
3782,Sunapee
3784,West Lebanon
3785,Landaff
3785,Easton
3785,Benton
3785,Woodsville
3801,Portsmouth
3802,Portsmouth
3803,Portsmouth
3804,Portsmouth
3805,Newington
3809,Alton
3810,Alton Bay
3811,Atkinson
3812,Hart's Location
3812,Bartlett
3813,Chatham
3813,Center Conway
3814,Center Ossipee
3815,Center Strafford
3816,Tuftonboro
3816,Center Tuftonboro
3817,Chocorua
3818,Albany
3818,Conway
3819,Danville
3820,Dover
3821,Dover
3822,Dover
3823,Madbury
3824,Lee
3824,Durham
3825,Barrington
3826,East Hampstead
3827,South Hampton
3827,East Kingston
3830,Wakefield
3830,East Wakefield
3832,Eaton
3832,Eaton Center
3833,Kensington
3833,Brentwood
3833,Exeter
3835,Farmington
3836,Freedom
3837,Gilmanton Iron Works
3838,Glen
3839,Rochester
3840,Greenland
3841,Hampstead
3842,Hampton
3843,Hampton
3844,Hampton Falls
3845,Intervale
3846,Jackson
3847,Kearsarge
3848,Kingston
3849,Madison
3850,Melvin Village
3851,Milton
3852,Milton Mills
3853,Mirror Lake
3854,New Castle
3855,New Durham
3856,Newfields
3857,Newmarket
3858,Newton
3859,Newton Junction
3860,Hale's Location
3860,North Conway
3861,Lee
3862,North Hampton
3864,Ossipee
3865,Plaistow
3866,Rochester
3867,Rochester
3868,Rochester
3869,Rollinsford
3870,Rye
3871,Rye Beach
3872,Brookfield
3872,Sanbornville
3873,Sandown
3874,Seabrook
3875,Silver Lake
3878,Somersworth
3882,Effingham
3883,South Tamworth
3884,Strafford
3885,Stratham
3886,Tamworth
3887,Middleton
3887,Union
3890,West Ossipee
3894,Tuftonboro
3894,Wolfeboro
3896,Wolfeboro Falls
3897,Wonalancet